,Datum
0,2017-01-02
1,2017-01-03
2,2017-01-04
3,2017-01-05
4,2017-01-06
5,2017-01-09
6,2017-01-10
7,2017-01-11
8,2017-01-12
9,2017-01-13
10,2017-01-16
11,2017-01-17
12,2017-01-18
13,2017-01-19
14,2017-01-20
15,2017-01-23
16,2017-01-24
17,2017-01-25
18,2017-01-26
19,2017-01-27
20,2017-01-30
21,2017-01-31
22,2017-02-01
23,2017-02-02
24,2017-02-03
25,2017-02-06
26,2017-02-07
27,2017-02-08
28,2017-02-09
29,2017-02-10
30,2017-02-13
31,2017-02-14
32,2017-02-15
33,2017-02-16
34,2017-02-17
35,2017-02-20
36,2017-02-21
37,2017-02-22
38,2017-02-23
39,2017-02-24
40,2017-02-27
41,2017-02-28
42,2017-03-01
43,2017-03-02
44,2017-03-03
45,2017-03-06
46,2017-03-07
47,2017-03-08
48,2017-03-09
49,2017-03-10
50,2017-03-13
51,2017-03-14
52,2017-03-15
53,2017-03-16
54,2017-03-17
55,2017-03-20
56,2017-03-21
57,2017-03-22
58,2017-03-23
59,2017-03-24
60,2017-03-27
61,2017-03-28
62,2017-03-29
63,2017-03-30
64,2017-03-31
65,2017-04-03
66,2017-04-04
67,2017-04-05
68,2017-04-06
69,2017-04-07
70,2017-04-10
71,2017-04-11
72,2017-04-12
73,2017-04-13
74,2017-04-18
75,2017-04-19
76,2017-04-20
77,2017-04-21
78,2017-04-24
79,2017-04-25
80,2017-04-26
81,2017-04-27
82,2017-04-28
83,2017-05-02
84,2017-05-03
85,2017-05-04
86,2017-05-05
87,2017-05-09
88,2017-05-10
89,2017-05-11
90,2017-05-12
91,2017-05-15
92,2017-05-16
93,2017-05-17
94,2017-05-18
95,2017-05-19
96,2017-05-22
97,2017-05-23
98,2017-05-24
99,2017-05-25
100,2017-05-26
101,2017-05-29
102,2017-05-30
103,2017-05-31
104,2017-06-01
105,2017-06-02
106,2017-06-05
107,2017-06-06
108,2017-06-07
109,2017-06-08
110,2017-06-09
111,2017-06-12
112,2017-06-13
113,2017-06-14
114,2017-06-15
115,2017-06-16
116,2017-06-19
117,2017-06-20
118,2017-06-21
119,2017-06-22
120,2017-06-23
121,2017-06-26
122,2017-06-27
123,2017-06-28
124,2017-06-29
125,2017-06-30
126,2017-07-03
127,2017-07-04
128,2017-07-07
129,2017-07-10
130,2017-07-11
131,2017-07-12
132,2017-07-13
133,2017-07-14
134,2017-07-17
135,2017-07-18
136,2017-07-19
137,2017-07-20
138,2017-07-21
139,2017-07-24
140,2017-07-25
141,2017-07-26
142,2017-07-27
143,2017-07-28
144,2017-07-31
145,2017-08-01
146,2017-08-02
147,2017-08-03
148,2017-08-04
149,2017-08-07
150,2017-08-08
151,2017-08-09
152,2017-08-10
153,2017-08-11
154,2017-08-14
155,2017-08-15
156,2017-08-16
157,2017-08-17
158,2017-08-18
159,2017-08-21
160,2017-08-22
161,2017-08-23
162,2017-08-24
163,2017-08-25
164,2017-08-28
165,2017-08-29
166,2017-08-30
167,2017-08-31
168,2017-09-01
169,2017-09-04
170,2017-09-05
171,2017-09-06
172,2017-09-07
173,2017-09-08
174,2017-09-11
175,2017-09-12
176,2017-09-13
177,2017-09-14
178,2017-09-15
179,2017-09-18
180,2017-09-19
181,2017-09-20
182,2017-09-21
183,2017-09-22
184,2017-09-25
185,2017-09-26
186,2017-09-27
187,2017-09-28
188,2017-09-29
189,2017-10-02
190,2017-10-03
191,2017-10-04
192,2017-10-05
193,2017-10-06
194,2017-10-09
195,2017-10-10
196,2017-10-11
197,2017-10-12
198,2017-10-13
199,2017-10-16
200,2017-10-17
201,2017-10-18
202,2017-10-19
203,2017-10-20
204,2017-10-23
205,2017-10-24
206,2017-10-25
207,2017-10-26
208,2017-10-27
209,2017-10-30
210,2017-10-31
211,2017-11-01
212,2017-11-02
213,2017-11-03
214,2017-11-06
215,2017-11-07
216,2017-11-08
217,2017-11-09
218,2017-11-10
219,2017-11-13
220,2017-11-14
221,2017-11-15
222,2017-11-16
223,2017-11-20
224,2017-11-21
225,2017-11-22
226,2017-11-23
227,2017-11-24
228,2017-11-27
229,2017-11-28
230,2017-11-29
231,2017-11-30
